Морковь, Китай, 5 тонн, 7050000 рублей
груши, Венгрия, 1 тонна, 1250000 рублей
Сметана, Австрия, 15 тонн, 1000000 рублей
Лимон, США, 20 тонн, 7050000 рублей
Масло растительное, Германия, 10 тонн, 12340000 рублей
Суповой набор куриный, Австралия, 5 тонн, 7050000 рублей
Консервированная кукуруза, Китай, 50 тонн, 1250000 рублей
Сгущенка, Китай, 5 тонн, 14850000 рублей
Суповой набор мясной, Перу, 5 тонн, 12340000 рублей
Малиновое варенье, Китай, 20 тонн, 12340000 рублей
Котлеты (домашний полуфабрикат), Австрия, 2 тонны, 7050000 рублей
Детское питание 7 банок, Австрия, 1 тонна, 1000000 рублей
Томатная паста, Перу, 5 тонн, 14850000 рублей
Кошачий корм, США, 30 тонн, 1000000 рублей
Консервированный горошек, Аргентина, 20 тонн, 1250000 рублей
Фрикадельки (домашний полуфабрикат), Китай, 15 тонн, 1250000 рублей
Малиновое варенье, Венгрия, 15 тонн, 1000000 рублей
Петрушка, Венгрия, 10 тонн, 1250000 рублей
Петрушка, Австрия, 20 тонн, 500000 рублей
Кефир, Аргентина, 50 тонн, 14850000 рублей
Суповой набор мясной, Австрия, 50 тонн, 12340000 рублей
Петрушка, Австрия, 10 тонн, 7050000 рублей
Петрушка, Венгрия, 50 тонн, 1250000 рублей
хлеб, Венгрия, 2 тонны, 7050000 рублей
Суповой набор куриный, Венгрия, 5 тонн, 14850000 рублей
Петрушка, Венгрия, 50 тонн, 14850000 рублей
Детское питание 7 банок, США, 10 тонн, 1000000 рублей
Сыр, Венгрия, 50 тонн, 7050000 рублей
Петрушка, Китай, 20 тонн, 500000 рублей
Сметана, Перу, 30 тонн, 500000 рублей
Масло растительное, Австрия, 20 тонн, 14850000 рублей
груши, США, 15 тонн, 12340000 рублей
Сахар коричневый, Китай, 2 тонны, 500000 рублей
Консервированная кукуруза, Германия, 15 тонн, 500000 рублей
Томатная паста, Китай, 30 тонн, 1250000 рублей
Детское питание 7 банок, Венгрия, 15 тонн, 7050000 рублей
Суповой набор мясной, Венгрия, 50 тонн, 12340000 рублей
Панировочные сухари, Германия, 10 тонн, 12340000 рублей
Сметана, Австралия, 2 тонны, 12340000 рублей
Консервированный горошек, США, 15 тонн, 500000 рублей
груши, Аргентина, 20 тонн, 1000000 рублей
Суповой набор мясной, США, 10 тонн, 14850000 рублей
Кошачий корм, Австралия, 15 тонн, 7050000 рублей
Панировочные сухари, Германия, 20 тонн, 500000 рублей
яблоки, Аргентина, 1 тонна, 12340000 рублей
шоколад, Венгрия, 1 тонна, 1250000 рублей
Суповой набор мясной, Австрия, 20 тонн, 12340000 рублей
Петрушка, Перу, 50 тонн, 12340000 рублей
рыба, США, 50 тонн, 14850000 рублей
Консервированная кукуруза, Венгрия, 20 тонн, 1250000 рублей
Творог, Австралия, 2 тонны, 14850000 рублей
Лимон, Австрия, 10 тонн, 1250000 рублей
Петрушка, США, 5 тонн, 7050000 рублей
яблоки, Германия, 30 тонн, 1250000 рублей
Рыбная консерва, Аргентина, 1 тонна, 12340000 рублей
шоколад, США, 15 тонн, 1000000 рублей
зерно, США, 5 тонн, 500000 рублей
Молоко детское, Германия, 15 тонн, 1000000 рублей
Панировочные сухари, США, 15 тонн, 500000 рублей
Рыбная консерва, Австралия, 30 тонн, 7050000 рублей
Котлеты (домашний полуфабрикат), Австралия, 1 тонна, 12340000 рублей
Петрушка, США, 30 тонн, 1250000 рублей
Сгущенка, Германия, 2 тонны, 7050000 рублей
рыба, Аргентина, 1 тонна, 7050000 рублей
Детское питание 7 банок, Венгрия, 20 тонн, 1250000 рублей
груши, Китай, 20 тонн, 1250000 рублей
Лимон, Австрия, 10 тонн, 500000 рублей
Суповой набор куриный, Австралия, 1 тонна, 500000 рублей
груши, Австралия, 20 тонн, 500000 рублей
Кошачий корм, Австрия, 1 тонна, 7050000 рублей
Сметана, Перу, 20 тонн, 14850000 рублей
Творог, Китай, 15 тонн, 7050000 рублей
Сахар коричневый, Австрия, 10 тонн, 7050000 рублей
Томатная паста, Китай, 10 тонн, 500000 рублей
Стручковая фасоль, Австрия, 2 тонны, 1250000 рублей
Горчица, Австрия, 5 тонн, 7050000 рублей
Сметана, Аргентина, 10 тонн, 7050000 рублей
Суповой набор мясной, Перу, 50 тонн, 1250000 рублей
Томатная паста, Аргентина, 1 тонна, 1000000 рублей
хлеб, Аргентина, 20 тонн, 14850000 рублей
Сгущенка, Венгрия, 50 тонн, 12340000 рублей
Котлеты (домашний полуфабрикат), Австралия, 2 тонны, 1000000 рублей
Панировочные сухари, Венгрия, 1 тонна, 1000000 рублей
Молоко детское, Германия, 20 тонн, 12340000 рублей
Рыбная консерва, Австрия, 2 тонны, 1250000 рублей
Горчица, США, 50 тонн, 1250000 рублей
Сыр, Аргентина, 10 тонн, 1250000 рублей
Баллончик со сливками, Китай, 5 тонн, 1250000 рублей
шоколад, Аргентина, 10 тонн, 12340000 рублей
хлеб, Австралия, 10 тонн, 1000000 рублей
рыба, Венгрия, 5 тонн, 7050000 рублей
Сметана, Аргентина, 20 тонн, 14850000 рублей
Консервированная кукуруза, США, 5 тонн, 1000000 рублей
яблоки, Венгрия, 5 тонн, 500000 рублей
рыба, Китай, 15 тонн, 500000 рублей
Сыр, Венгрия, 50 тонн, 500000 рублей
Творог, Аргентина, 20 тонн, 1250000 рублей
Суповой набор мясной, Перу, 2 тонны, 7050000 рублей
Консервированный горошек, Австрия, 2 тонны, 12340000 рублей
Масло растительное, Австрия, 1 тонна, 14850000 рублей
Сахар коричневый, США, 20 тонн, 500000 рублей
Молоко детское, Китай, 20 тонн, 7050000 рублей
Детское питание 7 банок, Аргентина, 15 тонн, 1000000 рублей
яблоки, Аргентина, 10 тонн, 1250000 рублей
зерно, Перу, 1 тонна, 7050000 рублей
Кошачий корм, Австрия, 5 тонн, 14850000 рублей
Томатная паста, Германия, 5 тонн, 12340000 рублей
Малиновое варенье, США, 15 тонн, 14850000 рублей
Панировочные сухари, Венгрия, 5 тонн, 500000 рублей
Суповой набор куриный, Аргентина, 50 тонн, 1250000 рублей
Суповой набор мясной, США, 50 тонн, 14850000 рублей
груши, Китай, 15 тонн, 12340000 рублей
Петрушка, Аргентина, 15 тонн, 12340000 рублей
рыба, Аргентина, 30 тонн, 14850000 рублей
Рыбная консерва, Австрия, 15 тонн, 500000 рублей
Кефир, Австралия, 1 тонна, 1250000 рублей
Творог, Перу, 2 тонны, 7050000 рублей
Рыбная консерва, Австрия, 10 тонн, 12340000 рублей
Сметана, Перу, 5 тонн, 7050000 рублей
Баллончик со сливками, Германия, 50 тонн, 500000 рублей
Сыр, Австрия, 20 тонн, 7050000 рублей
Картофель, Аргентина, 5 тонн, 7050000 рублей
Консервированная кукуруза, Венгрия, 1 тонна, 500000 рублей
Сахар коричневый, Австрия, 5 тонн, 14850000 рублей
Консервированный горошек, Австралия, 50 тонн, 1000000 рублей
Сыр, США, 50 тонн, 1000000 рублей
Консервированная кукуруза, Австрия, 30 тонн, 1250000 рублей
Сыр, Аргентина, 5 тонн, 7050000 рублей
рыба, Австрия, 50 тонн, 14850000 рублей
Сахар коричневый, Китай, 15 тонн, 1250000 рублей
Консервированный горошек, Аргентина, 30 тонн, 1000000 рублей
Консервированный горошек, Австралия, 20 тонн, 1250000 рублей
хлеб, Аргентина, 50 тонн, 14850000 рублей
зерно, Австрия, 1 тонна, 1000000 рублей
Кефир, Аргентина, 10 тонн, 1000000 рублей
Лимон, Германия, 20 тонн, 500000 рублей
Томатная паста, США, 10 тонн, 7050000 рублей
хлеб, Венгрия, 2 тонны, 7050000 рублей
Сахар коричневый, Аргентина, 5 тонн, 1000000 рублей
Лимон, Китай, 1 тонна, 14850000 рублей
Малиновое варенье, Перу, 50 тонн, 12340000 рублей
Консервированный горошек, Перу, 5 тонн, 14850000 рублей
Детское питание 7 банок, Перу, 5 тонн, 1250000 рублей
Рыбная консерва, Аргентина, 1 тонна, 500000 рублей
Детское питание 7 банок, Австралия, 2 тонны, 1000000 рублей
масло, Китай, 5 тонн, 12340000 рублей
Масло растительное, Германия, 20 тонн, 12340000 рублей
Лимон, Австрия, 1 тонна, 500000 рублей
зерно, Австрия, 30 тонн, 500000 рублей
Сыр, США, 10 тонн, 12340000 рублей
Сахар коричневый, Австрия, 5 тонн, 7050000 рублей
груши, Аргентина, 30 тонн, 1000000 рублей
Петрушка, Венгрия, 1 тонна, 14850000 рублей
Панировочные сухари, США, 1 тонна, 12340000 рублей
Сгущенка, Австралия, 2 тонны, 12340000 рублей
Стручковая фасоль, Австрия, 15 тонн, 1000000 рублей
Сахар коричневый, Перу, 5 тонн, 1250000 рублей
хлеб, Германия, 10 тонн, 1250000 рублей
Петрушка, США, 15 тонн, 1250000 рублей
Сгущенка, Венгрия, 10 тонн, 500000 рублей
рыба, Австрия, 15 тонн, 14850000 рублей
рыба, Германия, 10 тонн, 14850000 рублей
Суповой набор мясной, Германия, 5 тонн, 1250000 рублей
Томатная паста, Австрия, 20 тонн, 14850000 рублей
Картофель, Аргентина, 15 тонн, 1000000 рублей
Кошачий корм, США, 30 тонн, 7050000 рублей
Петрушка, Аргентина, 30 тонн, 7050000 рублей
шоколад, Германия, 20 тонн, 12340000 рублей
зерно, Венгрия, 20 тонн, 12340000 рублей
хлеб, Перу, 50 тонн, 12340000 рублей
Масло растительное, Венгрия, 10 тонн, 7050000 рублей
Сметана, Китай, 15 тонн, 14850000 рублей
Масло сливочное, Германия, 5 тонн, 14850000 рублей
Панировочные сухари, Австралия, 30 тонн, 1000000 рублей
Картофель, Аргентина, 1 тонна, 500000 рублей
Суповой набор мясной, Китай, 50 тонн, 14850000 рублей
масло, Перу, 50 тонн, 12340000 рублей
Сахар коричневый, Венгрия, 50 тонн, 500000 рублей
яблоки, Перу, 30 тонн, 1000000 рублей
Лимон, Перу, 2 тонны, 1000000 рублей
масло, Германия, 30 тонн, 12340000 рублей
Петрушка, Австралия, 1 тонна, 1250000 рублей
рыба, Германия, 20 тонн, 500000 рублей
Лимон, Венгрия, 15 тонн, 1000000 рублей
Сахар коричневый, Венгрия, 50 тонн, 12340000 рублей
Сыр, Австралия, 15 тонн, 12340000 рублей
Сгущенка, Венгрия, 2 тонны, 14850000 рублей
Сахар коричневый, Германия, 5 тонн, 7050000 рублей
Панировочные сухари, Венгрия, 20 тонн, 500000 рублей
Творог, Венгрия, 15 тонн, 1000000 рублей
Сахар коричневый, Германия, 50 тонн, 1250000 рублей
Кошачий корм, Китай, 20 тонн, 7050000 рублей
Томатная паста, Китай, 50 тонн, 7050000 рублей
Консервированный горошек, Венгрия, 5 тонн, 12340000 рублей
Масло растительное, США, 20 тонн, 14850000 рублей
хлеб, Перу, 15 тонн, 1000000 рублей
Сметана, Аргентина, 1 тонна, 14850000 рублей
масло, Венгрия, 20 тонн, 1000000 рублей
Петрушка, Австралия, 30 тонн, 1000000 рублей
Детское питание 7 банок, Китай, 1 тонна, 7050000 рублей
Котлеты (домашний полуфабрикат), Германия, 20 тонн, 7050000 рублей
Кефир, Австралия, 30 тонн, 1250000 рублей
Фрикадельки (домашний полуфабрикат), Перу, 20 тонн, 7050000 рублей
Сметана, Германия, 2 тонны, 1250000 рублей
Сгущенка, Германия, 30 тонн, 7050000 рублей
Чеснок, Венгрия, 50 тонн, 12340000 рублей
масло, Австралия, 20 тонн, 14850000 рублей
зерно, Венгрия, 10 тонн, 1250000 рублей
Чеснок, Венгрия, 10 тонн, 1250000 рублей
Котлеты (домашний полуфабрикат), Китай, 30 тонн, 7050000 рублей
Курица (бедра или окорочка), Австрия, 1 тонна, 12340000 рублей
Кошачий корм, Австрия, 20 тонн, 500000 рублей
яблоки, Германия, 50 тонн, 1250000 рублей
Картофель, США, 1 тонна, 1000000 рублей
зерно, Австрия, 20 тонн, 14850000 рублей
хлеб, Австрия, 2 тонны, 12340000 рублей
Котлеты (домашний полуфабрикат), Венгрия, 10 тонн, 14850000 рублей
Консервированная кукуруза, Перу, 15 тонн, 14850000 рублей
Рыбная консерва, Австралия, 20 тонн, 14850000 рублей
Курица (бедра или окорочка), Перу, 30 тонн, 7050000 рублей
Молоко детское, Венгрия, 15 тонн, 1250000 рублей
Творог, Китай, 50 тонн, 1250000 рублей
Молоко детское, Перу, 20 тонн, 1000000 рублей
Кошачий корм, Китай, 15 тонн, 14850000 рублей
Фрикадельки (домашний полуфабрикат), Китай, 50 тонн, 14850000 рублей
Томатная паста, Перу, 20 тонн, 12340000 рублей
Сахар коричневый, Австрия, 5 тонн, 12340000 рублей
Суповой набор куриный, Австрия, 30 тонн, 14850000 рублей
Баллончик со сливками, Австралия, 1 тонна, 7050000 рублей
Горчица, Германия, 30 тонн, 7050000 рублей
Чеснок, Аргентина, 10 тонн, 14850000 рублей
Детское питание 7 банок, Венгрия, 5 тонн, 1000000 рублей
Кефир, Перу, 10 тонн, 14850000 рублей
Суповой набор мясной, Аргентина, 50 тонн, 1000000 рублей
зерно, Китай, 5 тонн, 1250000 рублей
Картофель, Аргентина, 10 тонн, 1000000 рублей
Чеснок, Аргентина, 50 тонн, 1250000 рублей
Морковь, Венгрия, 20 тонн, 7050000 рублей
Сыр, США, 5 тонн, 14850000 рублей
Суповой набор куриный, Австралия, 20 тонн, 500000 рублей
зерно, Перу, 2 тонны, 1250000 рублей
Курица (бедра или окорочка), Венгрия, 20 тонн, 1000000 рублей
Молоко детское, Аргентина, 1 тонна, 14850000 рублей
шоколад, Австралия, 2 тонны, 1250000 рублей
Кошачий корм, Германия, 5 тонн, 500000 рублей
Морковь, США, 30 тонн, 14850000 рублей
Баллончик со сливками, Германия, 15 тонн, 1000000 рублей
Чеснок, Китай, 1 тонна, 1250000 рублей
хлеб, Венгрия, 5 тонн, 500000 рублей
Панировочные сухари, Перу, 15 тонн, 14850000 рублей
Баллончик со сливками, Перу, 30 тонн, 500000 рублей
яблоки, Австралия, 30 тонн, 1250000 рублей
Стручковая фасоль, Китай, 5 тонн, 1250000 рублей
хлеб, Китай, 20 тонн, 14850000 рублей
яблоки, США, 2 тонны, 12340000 рублей
Чеснок, Венгрия, 50 тонн, 1000000 рублей
Масло сливочное, Германия, 2 тонны, 500000 рублей
Панировочные сухари, Австралия, 30 тонн, 12340000 рублей
зерно, Венгрия, 20 тонн, 14850000 рублей
Горчица, Перу, 30 тонн, 7050000 рублей
Лимон, Перу, 50 тонн, 500000 рублей
Чеснок, США, 10 тонн, 12340000 рублей
Чеснок, Китай, 15 тонн, 1250000 рублей
шоколад, Перу, 20 тонн, 1250000 рублей
Курица (бедра или окорочка), Перу, 5 тонн, 14850000 рублей
Курица (бедра или окорочка), Китай, 2 тонны, 14850000 рублей
Горчица, Перу, 15 тонн, 14850000 рублей
Консервированный горошек, Австрия, 50 тонн, 7050000 рублей
Рыбная консерва, Германия, 1 тонна, 1000000 рублей
Фрикадельки (домашний полуфабрикат), Китай, 5 тонн, 1250000 рублей
Сгущенка, Перу, 1 тонна, 1250000 рублей
яблоки, Венгрия, 5 тонн, 7050000 рублей
Кошачий корм, Венгрия, 2 тонны, 12340000 рублей
Томатная паста, Перу, 10 тонн, 7050000 рублей
яблоки, Австрия, 5 тонн, 12340000 рублей
Суповой набор куриный, Австрия, 1 тонна, 14850000 рублей
Масло растительное, Перу, 30 тонн, 14850000 рублей
Сахар коричневый, США, 20 тонн, 7050000 рублей
Консервированная кукуруза, Германия, 2 тонны, 1250000 рублей
Томатная паста, Австрия, 30 тонн, 1000000 рублей
Горчица, Перу, 20 тонн, 14850000 рублей
Сыр, Китай, 50 тонн, 12340000 рублей
Стручковая фасоль, Германия, 2 тонны, 1000000 рублей
Кошачий корм, Австрия, 20 тонн, 7050000 рублей
Суповой набор мясной, Аргентина, 5 тонн, 1250000 рублей
шоколад, Австралия, 30 тонн, 7050000 рублей
хлеб, Китай, 5 тонн, 7050000 рублей
Сыр, Австралия, 1 тонна, 1250000 рублей
Курица (бедра или окорочка), Австрия, 20 тонн, 12340000 рублей
Детское питание 7 банок, Германия, 2 тонны, 1000000 рублей
Лимон, Австралия, 30 тонн, 7050000 рублей
Котлеты (домашний полуфабрикат), Перу, 50 тонн, 12340000 рублей
Масло растительное, Австралия, 1 тонна, 1000000 рублей
Фрикадельки (домашний полуфабрикат), Германия, 1 тонна, 1250000 рублей
шоколад, Аргентина, 30 тонн, 7050000 рублей
Картофель, Китай, 50 тонн, 12340000 рублей
Суповой набор куриный, Перу, 2 тонны, 1250000 рублей
Сгущенка, Перу, 1 тонна, 14850000 рублей
Стручковая фасоль, США, 30 тонн, 1250000 рублей
Консервированный горошек, Венгрия, 15 тонн, 14850000 рублей
Консервированный горошек, Аргентина, 20 тонн, 500000 рублей
Рыбная консерва, Германия, 10 тонн, 1000000 рублей
Консервированный горошек, США, 15 тонн, 1250000 рублей
Чеснок, Китай, 20 тонн, 12340000 рублей
Консервированный горошек, Китай, 10 тонн, 1000000 рублей
Томатная паста, Венгрия, 1 тонна, 1000000 рублей
Фрикадельки (домашний полуфабрикат), Германия, 15 тонн, 1000000 рублей
Картофель, Германия, 2 тонны, 12340000 рублей
Чеснок, Австралия, 30 тонн, 14850000 рублей
Сыр, США, 2 тонны, 7050000 рублей
Петрушка, Венгрия, 2 тонны, 500000 рублей
Масло растительное, Австралия, 1 тонна, 14850000 рублей
Сыр, Венгрия, 15 тонн, 1000000 рублей
Сгущенка, Германия, 15 тонн, 1000000 рублей
яблоки, Венгрия, 50 тонн, 7050000 рублей
рыба, Австралия, 10 тонн, 7050000 рублей
Масло растительное, Перу, 15 тонн, 1250000 рублей
Суповой набор куриный, Венгрия, 50 тонн, 7050000 рублей
хлеб, Венгрия, 2 тонны, 500000 рублей
Стручковая фасоль, Венгрия, 5 тонн, 14850000 рублей
Панировочные сухари, Германия, 5 тонн, 12340000 рублей
Стручковая фасоль, Австрия, 50 тонн, 500000 рублей
Кошачий корм, США, 15 тонн, 14850000 рублей
рыба, Перу, 2 тонны, 500000 рублей
Кошачий корм, Китай, 10 тонн, 14850000 рублей
Суповой набор мясной, Перу, 2 тонны, 14850000 рублей
Морковь, США, 10 тонн, 12340000 рублей
Суповой набор куриный, Австралия, 2 тонны, 500000 рублей
Картофель, Китай, 20 тонн, 1250000 рублей
Сыр, США, 20 тонн, 7050000 рублей
Детское питание 7 банок, Аргентина, 15 тонн, 1000000 рублей
Кефир, Австралия, 50 тонн, 1250000 рублей
хлеб, Перу, 15 тонн, 7050000 рублей
Морковь, Аргентина, 50 тонн, 1000000 рублей
груши, Венгрия, 20 тонн, 7050000 рублей
Томатная паста, Аргентина, 2 тонны, 7050000 рублей
рыба, США, 10 тонн, 7050000 рублей
Кошачий корм, Австралия, 30 тонн, 1000000 рублей
Суповой набор куриный, США, 30 тонн, 12340000 рублей
яблоки, Австралия, 5 тонн, 1250000 рублей
Кефир, Австралия, 15 тонн, 1250000 рублей
Курица (бедра или окорочка), Китай, 1 тонна, 500000 рублей
Стручковая фасоль, Австрия, 20 тонн, 1000000 рублей
Котлеты (домашний полуфабрикат), Австрия, 15 тонн, 14850000 рублей
Кефир, США, 20 тонн, 1000000 рублей
шоколад, Австрия, 30 тонн, 500000 рублей
Консервированная кукуруза, Австралия, 5 тонн, 1250000 рублей
Суповой набор куриный, Китай, 5 тонн, 14850000 рублей
Масло сливочное, Германия, 30 тонн, 14850000 рублей
Сахар коричневый, Аргентина, 10 тонн, 7050000 рублей
Кошачий корм, США, 30 тонн, 1000000 рублей
Сахар коричневый, Китай, 1 тонна, 1250000 рублей
Петрушка, Германия, 50 тонн, 14850000 рублей
Молоко детское, Китай, 30 тонн, 12340000 рублей
зерно, США, 30 тонн, 12340000 рублей
Консервированный горошек, Австралия, 2 тонны, 1000000 рублей
Сахар коричневый, Перу, 15 тонн, 500000 рублей
Чеснок, Аргентина, 15 тонн, 12340000 рублей
Сахар коричневый, Китай, 2 тонны, 7050000 рублей
Стручковая фасоль, Венгрия, 20 тонн, 7050000 рублей
Петрушка, США, 1 тонна, 7050000 рублей
хлеб, Австрия, 20 тонн, 7050000 рублей
Рыбная консерва, Австралия, 10 тонн, 1000000 рублей
Чеснок, Австралия, 1 тонна, 14850000 рублей
Горчица, Венгрия, 30 тонн, 500000 рублей
Петрушка, Перу, 20 тонн, 500000 рублей
Стручковая фасоль, Австрия, 5 тонн, 12340000 рублей
Консервированная кукуруза, Австралия, 30 тонн, 1250000 рублей
Фрикадельки (домашний полуфабрикат), Аргентина, 15 тонн, 12340000 рублей
Стручковая фасоль, Аргентина, 20 тонн, 7050000 рублей
Кошачий корм, Австрия, 20 тонн, 1000000 рублей
рыба, Австралия, 15 тонн, 7050000 рублей
Чеснок, Перу, 10 тонн, 1000000 рублей
Сметана, Германия, 30 тонн, 12340000 рублей
Лимон, Аргентина, 50 тонн, 7050000 рублей
Картофель, Венгрия, 30 тонн, 14850000 рублей
Томатная паста, Перу, 1 тонна, 12340000 рублей
Томатная паста, Австралия, 20 тонн, 12340000 рублей
Стручковая фасоль, Китай, 1 тонна, 1000000 рублей
Сметана, США, 2 тонны, 7050000 рублей
Курица (бедра или окорочка), Германия, 15 тонн, 1250000 рублей
хлеб, Венгрия, 20 тонн, 12340000 рублей
рыба, Аргентина, 10 тонн, 500000 рублей
Стручковая фасоль, Австрия, 5 тонн, 500000 рублей
Кошачий корм, Венгрия, 1 тонна, 500000 рублей
Горчица, США, 1 тонна, 12340000 рублей
Сметана, США, 1 тонна, 7050000 рублей
Суповой набор мясной, Германия, 5 тонн, 14850000 рублей
Консервированная кукуруза, США, 1 тонна, 14850000 рублей
Томатная паста, Венгрия, 30 тонн, 1250000 рублей
Котлеты (домашний полуфабрикат), Венгрия, 1 тонна, 12340000 рублей
Масло растительное, Аргентина, 20 тонн, 1250000 рублей
Стручковая фасоль, США, 1 тонна, 500000 рублей
Баллончик со сливками, США, 10 тонн, 12340000 рублей
Масло сливочное, Австрия, 2 тонны, 1250000 рублей
Лимон, Австралия, 10 тонн, 7050000 рублей
Сыр, Венгрия, 10 тонн, 14850000 рублей
хлеб, Венгрия, 20 тонн, 500000 рублей
шоколад, Германия, 30 тонн, 1000000 рублей
масло, Венгрия, 5 тонн, 7050000 рублей
груши, США, 20 тонн, 1250000 рублей
Панировочные сухари, Венгрия, 1 тонна, 1000000 рублей
Чеснок, Австралия, 30 тонн, 1000000 рублей
Детское питание 7 банок, Венгрия, 10 тонн, 7050000 рублей
яблоки, Аргентина, 15 тонн, 1000000 рублей
зерно, США, 1 тонна, 500000 рублей
Масло сливочное, США, 5 тонн, 1250000 рублей
зерно, Австрия, 50 тонн, 7050000 рублей
зерно, Австрия, 50 тонн, 12340000 рублей
Морковь, Австралия, 50 тонн, 1000000 рублей
груши, Аргентина, 20 тонн, 1000000 рублей
Рыбная консерва, Аргентина, 20 тонн, 1000000 рублей
Масло растительное, Китай, 30 тонн, 7050000 рублей
Консервированная кукуруза, Германия, 5 тонн, 14850000 рублей
Рыбная консерва, Китай, 1 тонна, 7050000 рублей
Сметана, США, 20 тонн, 7050000 рублей
Стручковая фасоль, США, 50 тонн, 1250000 рублей
Фрикадельки (домашний полуфабрикат), Венгрия, 5 тонн, 14850000 рублей
Детское питание 7 банок, Венгрия, 2 тонны, 12340000 рублей
Масло сливочное, Перу, 1 тонна, 12340000 рублей
Суповой набор куриный, Германия, 2 тонны, 12340000 рублей
Лимон, Германия, 10 тонн, 14850000 рублей
Лимон, США, 30 тонн, 1000000 рублей
Картофель, Китай, 10 тонн, 14850000 рублей
Масло растительное, Китай, 15 тонн, 7050000 рублей
Курица (бедра или окорочка), Германия, 30 тонн, 14850000 рублей
Рыбная консерва, Перу, 10 тонн, 14850000 рублей
Чеснок, Перу, 20 тонн, 500000 рублей
Суповой набор мясной, Китай, 2 тонны, 14850000 рублей
Рыбная консерва, Австралия, 1 тонна, 500000 рублей
Котлеты (домашний полуфабрикат), Австралия, 15 тонн, 7050000 рублей
Баллончик со сливками, Австралия, 10 тонн, 7050000 рублей
Творог, Аргентина, 2 тонны, 1000000 рублей
Морковь, США, 30 тонн, 1000000 рублей
Сметана, Китай, 50 тонн, 7050000 рублей
Консервированный горошек, Перу, 50 тонн, 1250000 рублей
масло, Австрия, 20 тонн, 1000000 рублей
Молоко детское, Перу, 5 тонн, 7050000 рублей
Сыр, Австрия, 15 тонн, 1250000 рублей
Детское питание 7 банок, Венгрия, 10 тонн, 7050000 рублей
Баллончик со сливками, Австралия, 50 тонн, 12340000 рублей
Петрушка, Венгрия, 1 тонна, 500000 рублей
Морковь, Аргентина, 50 тонн, 7050000 рублей
Фрикадельки (домашний полуфабрикат), Австралия, 15 тонн, 7050000 рублей
Рыбная консерва, Австрия, 1 тонна, 7050000 рублей
груши, Аргентина, 5 тонн, 1000000 рублей
Панировочные сухари, Австралия, 50 тонн, 7050000 рублей
шоколад, Перу, 5 тонн, 12340000 рублей
груши, Австралия, 2 тонны, 1000000 рублей
Сгущенка, Перу, 1 тонна, 500000 рублей
Картофель, Германия, 1 тонна, 12340000 рублей
масло, Германия, 2 тонны, 14850000 рублей
груши, Китай, 1 тонна, 1250000 рублей
масло, Аргентина, 50 тонн, 7050000 рублей
Сметана, Аргентина, 5 тонн, 1000000 рублей
Морковь, Австрия, 2 тонны, 1250000 рублей
хлеб, Аргентина, 50 тонн, 7050000 рублей
Рыбная консерва, Австралия, 15 тонн, 14850000 рублей
Молоко детское, Китай, 1 тонна, 7050000 рублей
масло, Китай, 10 тонн, 1000000 рублей
Котлеты (домашний полуфабрикат), Германия, 2 тонны, 500000 рублей
Баллончик со сливками, Китай, 20 тонн, 14850000 рублей
груши, Германия, 50 тонн, 500000 рублей
Сметана, Австралия, 30 тонн, 12340000 рублей
Консервированный горошек, Аргентина, 30 тонн, 1000000 рублей
Масло сливочное, США, 15 тонн, 14850000 рублей
Рыбная консерва, США, 1 тонна, 500000 рублей
Детское питание 7 банок, Китай, 10 тонн, 7050000 рублей
Чеснок, Австрия, 2 тонны, 7050000 рублей
Морковь, Венгрия, 2 тонны, 1250000 рублей
рыба, Австралия, 2 тонны, 500000 рублей
Рыбная консерва, Австралия, 5 тонн, 7050000 рублей
Томатная паста, Австралия, 1 тонна, 500000 рублей
Суповой набор куриный, Венгрия, 50 тонн, 7050000 рублей
груши, Австрия, 2 тонны, 500000 рублей
Стручковая фасоль, Аргентина, 2 тонны, 14850000 рублей
Кошачий корм, Германия, 10 тонн, 500000 рублей
Стручковая фасоль, Австралия, 20 тонн, 1250000 рублей
шоколад, Австрия, 15 тонн, 7050000 рублей
Сыр, США, 15 тонн, 12340000 рублей
Масло сливочное, США, 10 тонн, 7050000 рублей
Кефир, Перу, 10 тонн, 14850000 рублей
Картофель, Австрия, 50 тонн, 1000000 рублей
Кефир, Перу, 50 тонн, 1250000 рублей
Суповой набор мясной, Австрия, 15 тонн, 1250000 рублей
Суповой набор куриный, Венгрия, 50 тонн, 1000000 рублей
Чеснок, Китай, 5 тонн, 1250000 рублей
Кошачий корм, Австрия, 15 тонн, 14850000 рублей
Курица (бедра или окорочка), США, 20 тонн, 14850000 рублей
Сгущенка, Австрия, 15 тонн, 1000000 рублей
Сахар коричневый, Германия, 1 тонна, 12340000 рублей
Лимон, Аргентина, 20 тонн, 7050000 рублей
Консервированный горошек, США, 30 тонн, 500000 рублей
Котлеты (домашний полуфабрикат), Австрия, 30 тонн, 12340000 рублей
Творог, Австрия, 5 тонн, 14850000 рублей
Томатная паста, Китай, 5 тонн, 1250000 рублей
груши, Аргентина, 10 тонн, 1250000 рублей
Картофель, Аргентина, 2 тонны, 12340000 рублей
Петрушка, Австралия, 5 тонн, 12340000 рублей
груши, Австралия, 30 тонн, 500000 рублей
Томатная паста, Китай, 1 тонна, 12340000 рублей
Рыбная консерва, Перу, 30 тонн, 14850000 рублей
